algo,qubits,tool,result,time
add64_184,193,DDSim,1.46936793852786e-39,0.2697525024414062
add64_184,193,Quasimodo,2.159042138773535e-78,0.7769637107849121
add64_184,193,quokka-sharp-comp-ganak,0.0,0.0104212760925292
add64_184,193,quokka-sharp-comp-gpmc,0.0,0.0061337947845458
dj,32,Quasimodo,TIMEOUT,3.0481932163238525
dj,64,Quasimodo,TIMEOUT,3.039694309234619
dj,128,Quasimodo,TIMEOUT,3.0395278930664062
dj,128,quokka-sharp-comp-ganak,0.0,0.3650212287902832
dj,128,quokka-sharp-comp-gpmc,0.0,0.0193288326263427
e64-bdd_295,195,Quasimodo,0.0,0.9798743724822998
ex5p_296,206,Quasimodo,0.0,1.1322813034057615
ghz,32,Quasimodo,0.00010923794440798665,0.7544877529144287
ghz,64,Quasimodo,0.00010923794440798665,0.7482526302337646
ghz,128,Quasimodo,0.00010923794440798665,0.754122257232666
graphstate,32,Quasimodo,TIMEOUT,3.045551300048828
graphstate,64,Quasimodo,TIMEOUT,3.037043333053589
graphstate,128,Quasimodo,TIMEOUT,3.0421786308288574
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,Quasimodo,0.0,0.7645998001098633
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,Quasimodo,0.0,0.8277473449707031
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,Quasimodo,0.0,0.92767596244812
hwb9_304,170,Quasimodo,0.0,2.2320749759674072
qaoa,14,Quasimodo,3.5615635985398935e-33,3.9407477378845215
qaoa,15,Quasimodo,8.079723840356042e-43,6.401445388793945
qaoa,16,Quasimodo,5.182881262314704e-38,18.84865093231201
qft,16,Quasimodo,7.970461825257038e-05,6.618337869644165
qft,32,Quasimodo,TIMEOUT,3600.496764421463
qft,64,Quasimodo,TIMEOUT,3600.481489419937
qnn,18,Quasimodo,0.3061512835379085,1025.7335135936737
qnn,19,Quasimodo,0.22987266939039036,2238.769331932068
qnn,20,Quasimodo,TIMEOUT,3600.836974620819
su2random,17,Quasimodo,0.07042785474538266,176.0309672355652
su2random,18,Quasimodo,0.045757314014542125,462.1769556999207
su2random,19,Quasimodo,0.039805435690956036,1407.4292767047882
vqe,5,Quasimodo,0.4982408443508256,0.7536144256591797
vqe,10,Quasimodo,0.3659850563434935,0.9204847812652588
vqe,15,Quasimodo,0.1664921379578632,12.151027917861938
wstate,16,Quasimodo,0.0,8.422675609588623
wstate,32,Quasimodo,TIMEOUT,3601.8335757255554
wstate,64,Quasimodo,TIMEOUT,3600.2713453769684


algo,qubits,tool,result,time
add64_184,193,quokka-sharp-comp-gpmc,0.0,0.0148277282714843
add64_184,193,quokka-sharp-pauli-gpmc,1.4693679385278592e-39,0.0937800407409668
add64_184,193,quokka-sharp-comp-ganak,0.0,0.0106768608093261
add64_184,193,SliQSim,0.0,0.0194897651672363
add64_184,193,Quasimodo,2.159042138773535e-78,0.778780460357666
add64_184,193,DDSim,1.46936793852786e-39,0.2663896083831787
dj,128,quokka-sharp-comp-gpmc,0.0,0.0195839405059814
dj,128,quokka-sharp-pauli-gpmc,0.0,0.0574040412902832
dj,128,quokka-sharp-comp-ganak,0.0,0.365215539932251
dj,128,SliQSim,0.0,0.0268261432647705
add64_184,193,quokka-sharp-pauli-ganak,1.4693679406220143e-39,9.860535621643066
dj,128,quokka-sharp-pauli-ganak,0.0,3.434481143951416
dj,128,DDSim,ERROR,0.2374396324157714
dj,32,quokka-sharp-comp-gpmc,0,0.0097935199737548
dj,32,quokka-sharp-pauli-gpmc,0E-32,0.0148236751556396
dj,32,quokka-sharp-comp-ganak,0,0.121838092803955
dj,32,quokka-sharp-pauli-ganak,0E-32,0.7148737907409668
dj,32,SliQSim,0.0,0.007251501083374
dj,32,DDSim,0.0,0.213433027267456
dj,64,quokka-sharp-comp-gpmc,0,0.0122578144073486
dj,64,quokka-sharp-pauli-gpmc,0E-64,0.0266954898834228
